Inspection ID,DEMO-20260410-192603-956863
Created at,2026-04-10 19:25:59.823604
Operator,
Model,00-NPX2-100
Pipette number,#1
Mode,official
Z factor,1.004
Overall status,DEMO / NOT FOR OFFICIAL USE
Final use decision,DEMO / NOT FOR OFFICIAL USE
Comment,Demo dataset loaded — not for official use.

Checklist
Item,Status
Distilled water confirmed,YES
Premium Tip confirmed,YES
Balance calibrated confirmed,YES
2–3 hour temperature equilibration confirmed,YES
Room temperature 20–25°C confirmed,YES
No direct airflow confirmed,YES
Vessel with lid prepared confirmed,YES

Point results summary
Point,Vs (μL),Mean (μL),es %,|es| %,CV %,AC limit %,CV limit %,Decision
1,10.0,9.9908,-0.0920,0.0920,0.0741,2.0000,1.0000,PASS
2,50.0,49.9942,-0.0116,0.0116,0.0217,1.0000,0.3000,PASS
3,100.0,99.9934,-0.0066,0.0066,0.0159,0.8000,0.3000,PASS

Point 1 replicate details
Replicate,Mass (mg),Corrected volume (μL),Photo
1,9.95,9.9898,No
2,9.96,9.9998,No
3,9.94,9.9798,No
4,9.95,9.9898,No
5,9.96,9.9998,No
6,9.95,9.9898,No
7,9.94,9.9798,No
8,9.96,9.9998,No
9,9.95,9.9898,No
10,9.95,9.9898,No

Point 2 replicate details
Replicate,Mass (mg),Corrected volume (μL),Photo
1,49.78,49.9791,No
2,49.8,49.9992,No
3,49.79,49.9892,No
4,49.81,50.0092,No
5,49.8,49.9992,No
6,49.78,49.9791,No
7,49.79,49.9892,No
8,49.8,49.9992,No
9,49.81,50.0092,No
10,49.79,49.9892,No

Point 3 replicate details
Replicate,Mass (mg),Corrected volume (μL),Photo
1,99.58,99.9783,No
2,99.6,99.9984,No
3,99.62,100.0185,No
4,99.57,99.9683,No
5,99.61,100.0084,No
6,99.59,99.9884,No
7,99.6,99.9984,No
8,99.58,99.9783,No
9,99.61,100.0084,No
10,99.59,99.9884,No

